Region,State or Province,City,Postal Code,Location_id
Central,Illinois,Addison,60101,IA60101
Central,Illinois,Alton,62002,IA62002
Central,Illinois,Arlington Heights,60004,IA60004
Central,Illinois,Aurora,60505,IA60505
Central,Illinois,Batavia,60510,IB60510
Central,Illinois,Belleville,62223,IB62223
Central,Illinois,Belvidere,61008,IB61008
Central,Illinois,Bloomington,61701,IB61701
Central,Illinois,Bolingbrook,60440,IB60440
Central,Illinois,Buffalo Grove,60089,IB60089
Central,Illinois,Burbank,60459,IB60459
Central,Illinois,Calumet City,60409,IC60409
Central,Illinois,Carbondale,62901,IC62901
Central,Illinois,Carol Stream,60188,IC60188
Central,Illinois,Carpentersville,60110,IC60110
Central,Illinois,Champaign,61821,IC61821
Central,Illinois,Chicago,60601,IC60601
Central,Illinois,Chicago,60603,IC60603
Central,Illinois,Chicago,60610,IC60610
Central,Illinois,Chicago,60611,IC60611
Central,Illinois,Chicago,60623,IC60623
Central,Illinois,Chicago,60653,IC60653
Central,Illinois,Chicago,60699,IC60699
Central,Illinois,Collinsville,62234,IC62234
Central,Illinois,Country Club Hills,60478,IC60478
Central,Illinois,Crystal Lake,60014,IC60014
Central,Illinois,Danville,61832,ID61832
Central,Illinois,Decatur,62521,ID62521
Central,Illinois,Des Plaines,60016,ID60016
Central,Illinois,Downers Grove,60516,ID60516
Central,Illinois,East Saint Louis,62205,IE62205
Central,Illinois,Elgin,60123,IE60123
Central,Illinois,Elk Grove Village,60007,IE60007
Central,Illinois,Elmhurst,60126,IE60126
Central,Illinois,Evanston,60201,IE60201
Central,Illinois,Forest Park,60130,IF60130
Central,Illinois,Frankfort,60423,IF60423
Central,Illinois,Franklin Park,60131,IF60131
Central,Illinois,Freeport,61032,IF61032
Central,Illinois,Galesburg,61401,IG61401
Central,Illinois,Glen Ellyn,60137,IG60137
Central,Illinois,Glendale Heights,60139,IG60139
Central,Illinois,Glenview,60025,IG60025
Central,Illinois,Granite City,62040,IG62040
Central,Illinois,Gurnee,60031,IG60031
Central,Illinois,Hanover Park,60103,IH60103
Central,Illinois,Highland Park,60035,IH60035
Central,Illinois,Hoffman Estates,60194,IH60194
Central,Illinois,Joliet,60432,IJ60432
Central,Illinois,Kankakee,60901,IK60901
Central,Illinois,Lake In The Hills,60102,IL60102
Central,Illinois,Lansing,60438,IL60438
Central,Illinois,Lombard,60148,IL60148
Central,Illinois,Melrose Park,60160,IM60160
Central,Illinois,Moline,61265,IM61265
Central,Illinois,Mount Prospect,60056,IM60056
Central,Illinois,Mundelein,60060,IM60060
Central,Illinois,Naperville,60540,IN60540
Central,Illinois,Normal,61761,IN61761
Central,Illinois,Northbrook,60062,IN60062
Central,Illinois,Oak Forest,60452,IO60452
Central,Illinois,Oak Lawn,60453,IO60453
Central,Illinois,Oak Park,60302,IO60302
Central,Illinois,Orland Park,60462,IO60462
Central,Illinois,Oswego,60543,IO60543
Central,Illinois,Palatine,60067,IP60067
Central,Illinois,Park Ridge,60068,IP60068
Central,Illinois,Pekin,61554,IP61554
Central,Illinois,Peoria,61604,IP61604
Central,Illinois,Plainfield,60544,IP60544
Central,Illinois,Quincy,62301,IQ62301
Central,Illinois,Rock Island,61201,IR61201
Central,Illinois,Rockford,61107,IR61107
Central,Illinois,Romeoville,60441,IR60441
Central,Illinois,Saint Charles,60174,IS60174
Central,Illinois,Schaumburg,60193,IS60193
Central,Illinois,Skokie,60076,IS60076
Central,Illinois,Springfield,62701,IS62701
Central,Illinois,Streamwood,60107,IS60107
Central,Illinois,Tinley Park,60477,IT60477
Central,Illinois,Urbana,61801,IU61801
Central,Illinois,Vernon Hills,60061,IV60061
Central,Illinois,Waukegan,60087,IW60087
Central,Illinois,West Chicago,60185,IW60185
Central,Illinois,Wheaton,60187,IW60187
Central,Illinois,Wheeling,60090,IW60090
Central,Illinois,Wilmette,60091,IW60091
Central,Illinois,Woodridge,60517,IW60517
Central,Illinois,Woodstock,60098,IW60098
Central,Indiana,Anderson,46016,IA46016
Central,Indiana,Bloomington,47401,IB47401
Central,Indiana,Carmel,46032,IC46032
Central,Indiana,Columbus,47201,IC47201
Central,Indiana,Crown Point,46307,IC46307
Central,Indiana,East Chicago,46312,IE46312
Central,Indiana,Elkhart,46514,IE46514
Central,Indiana,Fort Wayne,46806,IF46806
Central,Indiana,Frankfort,46041,IF46041
Central,Indiana,Gary,46404,IG46404
Central,Indiana,Granger,46530,IG46530
Central,Indiana,Greenwood,46142,IG46142
Central,Indiana,Hammond,46324,IH46324
Central,Indiana,Highland,46322,IH46322
Central,Indiana,Hobart,46342,IH46342
Central,Indiana,Indianapolis,46203,II46203
Central,Indiana,Jeffersonville,47130,IJ47130
Central,Indiana,Kokomo,46901,IK46901
Central,Indiana,La Porte,46350,IL46350
Central,Indiana,Lafayette,47905,IL47905
Central,Indiana,Lawrence,46226,IL46226
Central,Indiana,Marion,46952,IM46952
Central,Indiana,Merrillville,46410,IM46410
Central,Indiana,Michigan City,46360,IM46360
Central,Indiana,Mishawaka,46544,IM46544
Central,Indiana,Muncie,47302,IM47302
Central,Indiana,Munster,46321,IM46321
Central,Indiana,New Albany,47150,IN47150
Central,Indiana,New Castle,47362,IN47362
Central,Indiana,Noblesville,46060,IN46060
Central,Indiana,Portage,46368,IP46368
Central,Indiana,Richmond,47374,IR47374
Central,Indiana,Schererville,46375,IS46375
Central,Indiana,Seymour,47274,IS47274
Central,Indiana,South Bend,46614,IS46614
Central,Indiana,Terre Haute,47802,IT47802
Central,Indiana,Valparaiso,46383,IV46383
Central,Indiana,Vincennes,47591,IV47591
Central,Indiana,West Lafayette,47906,IW47906
Central,Iowa,Ames,50010,IA50010
Central,Iowa,Ankeny,50021,IA50021
Central,Iowa,Bettendorf,52722,IB52722
Central,Iowa,Burlington,52601,IB52601
Central,Iowa,Cedar Falls,50613,IC50613
Central,Iowa,Cedar Rapids,52402,IC52402
Central,Iowa,Clinton,52732,IC52732
Central,Iowa,Coralville,52241,IC52241
Central,Iowa,Council Bluffs,51503,IC51503
Central,Iowa,Davenport,52803,ID52803
Central,Iowa,Des Moines,50315,ID50315
Central,Iowa,Dubuque,52001,ID52001
Central,Iowa,Fort Dodge,50501,IF50501
Central,Iowa,Iowa City,52240,II52240
Central,Iowa,Marion,52302,IM52302
Central,Iowa,Marshalltown,50158,IM50158
Central,Iowa,Mason City,50401,IM50401
Central,Iowa,Muscatine,52761,IM52761
Central,Iowa,Newton,50208,IN50208
Central,Iowa,Ottumwa,52501,IO52501
Central,Iowa,Sioux City,51106,IS51106
Central,Iowa,Urbandale,50322,IU50322
Central,Iowa,Waterloo,50701,IW50701
Central,Iowa,West Des Moines,50265,IW50265
Central,Kansas,Derby,67037,KD67037
Central,Kansas,Dodge City,67801,KD67801
Central,Kansas,Emporia,66801,KE66801
Central,Kansas,Garden City,67846,KG67846
Central,Kansas,Hays,67601,KH67601
Central,Kansas,Hutchinson,67501,KH67501
Central,Kansas,Kansas City,66104,KK66104
Central,Kansas,Lawrence,66044,KL66044
Central,Kansas,Leavenworth,66048,KL66048
Central,Kansas,Leawood,66209,KL66209
Central,Kansas,Lenexa,66215,KL66215
Central,Kansas,Liberal,67901,KL67901
Central,Kansas,Manhattan,66502,KM66502
Central,Kansas,Newton,67114,KN67114
Central,Kansas,Olathe,66062,KO66062
Central,Kansas,Overland Park,66212,KO66212
Central,Kansas,Pittsburg,66762,KP66762
Central,Kansas,Prairie Village,66202,KP66202
Central,Kansas,Shawnee,66203,KS66203
Central,Kansas,Topeka,66614,KT66614
Central,Kansas,Wichita,67212,KW67212
Central,Michigan,Adrian,49221,MA49221
Central,Michigan,Allen Park,48101,MA48101
Central,Michigan,Ann Arbor,48104,MA48104
Central,Michigan,Battle Creek,49017,MB49017
Central,Michigan,Bay City,48708,MB48708
Central,Michigan,Burton,48509,MB48509
Central,Michigan,Canton,48187,MC48187
Central,Michigan,Clinton,49236,MC49236
Central,Michigan,Dearborn,48126,MD48126
Central,Michigan,Dearborn Heights,48127,MD48127
Central,Michigan,Detroit,48138,MD48138
Central,Michigan,Detroit,48205,MD48205
Central,Michigan,Detroit,48227,MD48227
Central,Michigan,Detroit,48234,MD48234
Central,Michigan,East Lansing,48823,ME48823
Central,Michigan,Eastpointe,48021,ME48021
Central,Michigan,Farmington Hills,48336,MF48336
Central,Michigan,Flint,48505,MF48505
Central,Michigan,Garden City,48135,MG48135
Central,Michigan,Grand Rapids,49505,MG49505
Central,Michigan,Holland,49423,MH49423
Central,Michigan,Inkster,48141,MI48141
Central,Michigan,Jackson,49201,MJ49201
Central,Michigan,Kalamazoo,49001,MK49001
Central,Michigan,Kentwood,49508,MK49508
Central,Michigan,Lansing,48911,ML48911
Central,Michigan,Lincoln Park,48146,ML48146
Central,Michigan,Livonia,48154,ML48154
Central,Michigan,Madison Heights,48071,MM48071
Central,Michigan,Midland,48640,MM48640
Central,Michigan,Mount Pleasant,48858,MM48858
Central,Michigan,Muskegon,49442,MM49442
Central,Michigan,Novi,48375,MN48375
Central,Michigan,Oak Park,48237,MO48237
Central,Michigan,Owosso,48841,MO48841
Central,Michigan,Pontiac,48342,MP48342
